file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,54,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,55,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,1
style.css,56,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,1
style.css,57,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,1
style.css,58,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,1
style.css,59,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,1
style.css,60,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,2
style.css,61,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,15
style.css,62,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,17
style.css,63,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,64,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,65,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,2
style.css,66,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,14
style.css,67,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,68,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,69,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,3
style.css,70,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,12
style.css,71,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,11
style.css,72,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,18
style.css,73,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,1,43
style.css,74,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,75,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,76,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,5
style.css,77,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,6
style.css,78,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,16
style.css,79,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,80,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,81,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,5
style.css,82,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,6
style.css,83,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,17
style.css,84,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,13
style.css,85,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,20
style.css,86,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,13
style.css,87,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,88,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,89,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,0,13
style.css,90,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,1,15
style.css,91,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,45
style.css,92,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,20
style.css,93,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,94,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,95,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,0,81
style.css,96,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,0,10
style.css,97,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,0,18
style.css,98,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,0,19
style.css,99,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,45
style.css,100,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,20
style.css,101,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,1,69
style.css,102,css,7568652b,romanzrespicio,2026-04-15,17:44:40,-07:00,2026-04-15T17:44:40-07:00,1,16
style.css,103,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,104,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,105,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,31
style.css,106,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,4
style.css,107,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,12
style.css,108,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,30
style.css,109,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,7
style.css,110,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,20
style.css,111,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,112,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,113,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,10
style.css,114,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,13
style.css,115,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,8
style.css,116,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,117,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,118,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,9
style.css,119,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,12
style.css,120,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,11
style.css,121,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,12
style.css,122,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,13
style.css,123,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,10
style.css,124,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,21
style.css,125,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,126,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,127,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,11
style.css,128,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,1,18
style.css,129,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,130,css,e70fd314,romanzrespicio,2026-04-11,20:04:58,-07:00,2026-04-11T20:04:58-07:00,0,0
style.css,131,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,0,64
style.css,132,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,0,30
style.css,133,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,20
style.css,134,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,0,0
style.css,135,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,0,0
style.css,136,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,0,30
style.css,137,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,0,25
style.css,138,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,21
style.css,139,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,10
style.css,140,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,14
style.css,141,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,18
style.css,142,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,22
style.css,143,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,12
style.css,144,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,16
style.css,145,css,1b1d4c59,romanzrespicio,2026-05-01,16:26:49,-07:00,2026-05-01T16:26:49-07:00,1,23
